author_display,title,id,author_id
"Shelley, Percy Bysshe",Ode to the West Wind ,text00104,pers00014
"Longfellow, Henry Wadsworth",A Psalm of Life: What the Heart of the Young Man Said to the Psalmist,text00662,pers00205
"Whittier, John Greenleaf",Snow-Bound: A Winter Idyll ,text00676,pers00590
"Blake, William",The Shepherd ,text00110,pers00009
"Dickinson, Emily","[1651 ""A Word made Flesh is seldom""] ",text00845,pers00523
"Poe, Edgar Allan",Ulalume — A Ballad,text00689,pers00119
"Lazarus, Emma",Venus of the Louvre ,text00851,pers00610
"Southey, Robert",History ,text00879,pers00008
"Shelley, Percy Bysshe",England in 1819 ,text00306,pers00014
"Burns, Robert",A Poet’s Welcome to his Love-begotten Daughter ,text00312,pers00002
"Hugo, Victor",Response to an Indictment ,text00528,pers00064
"Keats, John",Old Meg She Was a Gypsy ,text00272,pers00013
"Southey, Robert / Coleridge, Samuel Taylor",The Devil’s Thoughts ,text00266,"pers00008,pers00004"
"Alfieri, Vittorio",Great father Dante ... ,text01193,pers00514
"Baudelaire, Charles",Correspondences ,text01187,pers00057
"Wordsworth, William","The Prelude [Book X. ‘Residence in France and French Revolution’, ll. 201-210, 218-274 (War and Alienation: London and Wales, 1793 – 1794)]",text00299,pers00006
"Chatterton, Thomas","An Excelente Balade of Charitie: As wroten bie the goode Prieste Thomas Rowley, 1464",text01352,pers00082
"Byron, George Gordon, Lord",The Prisoner of Chillon ,text00058,pers00012
"Coleridge, Samuel Taylor","This Lime-Tree Bower, My Prison A Poem Addressed to Charles Lamb of the India-House, London",text00070,pers00004
"Very, Jones",The New World ,text00716,pers00596
"Norwid, Cyprian Kamil",What did you do to Athens ... ,text01408,pers00463
"Cranch, Christopher Pearse",Correspondences ,text00702,pers00595
"Landon, Letitia Elizabeth",She Sat Alone Beside Her Hearth ,text00064,pers00019
"Pushkin, Alexander",Deep in the Ore Beds of Siberia ... ,text00931,pers00120
"Delvig, Anton",Inspiration ,text00925,pers00519
"Heine, Heinrich",Alone a Spruce Is Standing ,text00918,pers00098
"Tagore, Rabindranath","Leave This Gitanjali, 11",text01384,pers00842
"Solomos, Dionysios",The Shark ,text01390,pers00125
"Cranch, Christopher Pearse",Enosis ,text00703,pers00595
"Barbauld, Anna Laetitia","The Mouse’s Petition to Dr Priestley, Found in the Trap where he had been Confined all Night",text00065,pers00026
"Coleridge, Samuel Taylor",Frost at Midnight ,text00071,pers00004
"Very, Jones",The Prayer ,text00717,pers00596
"Botev, Hristo",The Hanging of Vasil Levski ,text01421,pers00829
"Keats, John","Isabella, or The Pot of Basil [St. 32 – 63]",text00059,pers00013
